txnHash,sender,value,blockNumber,timestamp,coin
0x6371362f112ea5610c0a80f715662b02d1d893908483e7aa51150bcd89925c4a,0x4Ab54c9eA8b56db62832ed20654F373B7305dB0c,15000000000000000,14124492,1643776206000,ETH
0x3fe11699d89fa8052c32d22c13ab00c39569b4f1a972eb4da76c9e67d1c1a0f5,0x4Ab54c9eA8b56db62832ed20654F373B7305dB0c,15000000000000000000,14128271,1643827096000,DAI
0xf731af4510de85d6b1337aa8f25e127bb812a0051fe8e21a71d3c561929f51d3,0x4Ab54c9eA8b56db62832ed20654F373B7305dB0c,10000000000000000,14128273,1643827104000,ETH
0x69a640c24a8d45014a0deac49c8367efce5519c6db6279cbe55c7c3a74c54dd1,0xAE13245d7ab6621b8583F5a734F8F8728dE4Dcd1,780000000000000000,14128487,1643829791000,ETH
0xc8a1a9fe03cd82346ef5005262d50e557a1777b3604d7a071c3b4587889d83dc,0xC5c8eff68183581f8a108CE6414a21a6675A4b79,1500000000000000000,14128488,1643829825000,ETH
0x2f0e4ad847389e5c56ade2a406ccba5ff6ead0df398d21ed4c7f38d1216b0981,0x2843b4E0e0B7B812C1B574C77a54308dAed0d0A2,110670000000000000,14128498,1643829927000,ETH
0x22ef59ef9b5579ef744f41735671bee1152cf21feed259a1e26ded268e053724,0xdeFD0dE775d82A61D1A93efC18913e7B16906e1c,1200000000000000000,14128502,1643829966000,ETH
0xf844f8e007c5989f7aa834ff9a8c87e284e76b9119bbc262127d39e7d81316a7,0x4Ab54c9eA8b56db62832ed20654F373B7305dB0c,1000000000000000000,14128830,1643834392000,DAI
0x2eca37bf012c1ef9ec0553cd07fc2a5627e32a680a879a4c955b30afc869cdb1,0x4Ab54c9eA8b56db62832ed20654F373B7305dB0c,1000000000000000,14128830,1643834392000,ETH
0x64c0017c2d0de375c80ad37d481cd549dc1095f64ac39e8b59caba117e9ec9a2,0x580756206Bc33BDf63F26e46eb1BaD3BC5c53a54,300000000000000000,14128924,1643835941000,ETH
0xaeb8614064e3bae8011201c426cb75e3371a3d34de3bca63bd4dac1f590a0f05,0x58F09dd6DF8dFCe8c209A00BaE4348002BACac1d,1200000000000000000000000,14129278,1643840487000,DAI
0x7b918b7cd3c66d6bfc81bc42be6d6d16af265b50cc0e9610837b8a7444f0a2d2,0x752515a3A1091b9f1c04416CF79D1F14d2340085,9786795000000000000000000,14129286,1643840647000,DAI
0x4eb5579dcfe0478bccb013e6386f44adabe8540068a2f52b4e5f00447e1844a4,0xB66426c5D88309668dBE013C118831642F532DD0,57325246818563798504,14129326,1643841049000,ETH
0x8bbc858653f31158809e425074cc585faf63e8b088e335a6e12a23ee64f355fd,0xfE021e62637Cf8B880a76b09E94904693D38256A,79931657325980000000,14129361,1643841679000,ETH
0x233834c33ad4a6e120a647b567add893dc1869c1cf04d3c28aa9e23d08500485,0xD78368092Cb1079e3DdaE7f192F5dCdE53949CCD,3000000000000000000000000,14129414,1643842325000,DAI
0x068ddb3c424b3b9d3c1ef644d7164f0f321a1fb4fe7542a11aee166fa4d93ee8,0x58F09dd6DF8dFCe8c209A00BaE4348002BACac1d,687175562000000000000,14129466,1643842956000,ETH
0xcf9d97c827fae088002c66f2d2aaccfad8cdbd5b842cbc554083523f3ad9fe62,0xe4918B846156782a8454AcB1332BEeeA9B523763,400000000000000000,14129789,1643847279000,ETH
0x47a5db31d03cb723b367a01b972a4ea6ad1246c43dab3d6b76007a275c5be104,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,962970000000000000,14129978,1643849697000,ETH
0x233b39b936a1c3069e1da7ba7c1cc4b01a1c284d9d6580a305fb67fc24f34ada,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,364000000000000000,14130555,1643858037000,ETH
0xd28846471bd4b82b77ae4b04f4a480638a70498288b244c39a330b3e79959867,0xdeFD0dE775d82A61D1A93efC18913e7B16906e1c,1200000000000000000,14133509,1643897857000,ETH
0xbecf50051b1b9a6bedcff06598f4ddcccb77d3daf72b1ff174f16f392549880b,0xAE13245d7ab6621b8583F5a734F8F8728dE4Dcd1,766923000000000000,14133548,1643898486000,ETH
0x5873fdc9ac407f657075adc22e225b945915076e695e40644ac1bfa50c8df0b3,0xC5c8eff68183581f8a108CE6414a21a6675A4b79,1500000000000000000,14133719,1643900946000,ETH
0xdac48a46cfd018b251d8ce312755c77f55136f2a65ebf7cd8f464d85571f14a4,0x2843b4E0e0B7B812C1B574C77a54308dAed0d0A2,114330000000000000,14133937,1643903983000,ETH
0xf5f554317f37b92a27d17c6ff5f230de7f40433f779ddf38311fe27f4a103a2f,0x58Ba373d9eE46ED5402a6A15fE9CcADc67dE1650,100000000000000000,14134186,1643907119000,ETH
0x103c0efcfa74a8d07e40276b4265279a27f739b29ac46318ccc5b85b1a32dd1c,0x872C95b2284e089FCB205D5DcF8E40b9E4Caea97,1120000000000000000,14134221,1643907476000,ETH
0x8674b136eea82e3d0f0a2fc2c1a6ad5589c92658dcf116db563b6c206d1f048a,0x74F2305790da72386a1d1d32d82b8DB8164C0704,3000000000000000000,14135395,1643923043000,ETH
0x8912ddc0ddc57c5e2f545b627da296f249774dc5b07fa06ee39509c716def5a6,0x211be2dDC09c482B27Ed780A710b18d8Cb76328E,20000000000000000000,14135605,1643926013000,DAI
0xa5ef0b4edd588dc3b789279d8c10f85cbedfc62038fc97dd76ecb42f8b6202ed,0x211be2dDC09c482B27Ed780A710b18d8Cb76328E,80000000000000000000000,14135613,1643926075000,DAI
0x210614f9f5c95e40a963674e69f26d89369d8b49746110f3b89659fbebf98dd6,0x211be2dDC09c482B27Ed780A710b18d8Cb76328E,1000000000000000000000,14135616,1643926141000,DAI
0xd698d9dcb05e4bfc1c06c0c3d0b836fc2675fa242887afd1c709df7751ad4b7d,0x211be2dDC09c482B27Ed780A710b18d8Cb76328E,1000000000000000000,14135618,1643926204000,ETH
0x790c66823111c375e45869083c121ce84e78611ec889677d8a60d5a90c82f04f,0x6C0822b5D3A0aEC3869DDdE051573a97856Aeb54,333333333300000000,14135812,1643928730000,ETH
0xe56b97f41fa614ac5e045c80cd63d96016bd4808aabf65a8989d3763978c8463,0x8ffd0b26e7a5d1B535BcC3227b44A933FFf0d338,2450000000000000000,14136349,1643935611000,ETH
0xf5c2c7a839f440a08645a8bf0214886c46e9086e18f7a62522d1191174d7373c,0x3D4C86aa1f4aE5318e91957287918aDD80f4f4C6,380000000000000000,14136520,1643937840000,ETH
0x6bd063ae5aaea7528202f2f2d4bea96019b471e74197ebce87482de72f33b9c0,0xDfd89a9d9C7A7B278887F59C9ff4BD244Cb1d397,0,14136565,1643938440000,ETH
0x9b017edccfc4b7a12863525c959fd4cdcf0f4b24d47f4694818e745006d51b74,0x58Ba373d9eE46ED5402a6A15fE9CcADc67dE1650,770000000000000000,14137774,1643954611000,ETH
0x01bb029c5afb6367effb66bf428685b4206e8e38b8c66a4b5795536fa7b376b4,0x0e2Bac198dd3646576dbAB5D86130E538f39820b,1000000000000000,14139044,1643971608000,ETH
0xcbe7da38c824543439f462432e8ca020e1f36811d66cea0b2377b24d44442f9e,0x586075CEa62b415A33050c012c6e1591C1da1c74,1500000000000000,14139128,1643972660000,ETH
0xccce2242340a16deaac895486366d70b5ba09a864bab014e85d7ebe7483c84dd,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,600000000000000000,14140674,1643992835000,ETH
0x3fd3cde7bfecced47ac7bf424267ebe1e3b6a0904956f4d9c5c512c37a459b55,0x8B4Ca0c6Ff4B175a776aEA73A251354B6771bccA,105000000000000000,14140684,1643993004000,ETH
0x5417ea96f4ea887e099a3d5b1e1baac93f9c8cd8dd91bd8e8b27844efdc52052,0x1F736b9D5cdeb4933DB97e4f9f8153899E0Ab82f,300000000000000000,14141237,1644000552000,ETH
0x8eb1e08e1a3367d0302ff2715f205de2587e48e7ab05156e42526d0f4596acce,0x3c7eA1846BC5cb5e043a1CE8B728d4e42d9f2539,278000000000000000,14141432,1644002951000,ETH
0x5c105589e581e0418af9cac33db4e3647155397ee1ef3d7b56307f4e8fd8f2f8,0x1F736b9D5cdeb4933DB97e4f9f8153899E0Ab82f,90000000000000000,14141972,1644009553000,ETH
0x0a5168901f1274351e20fc53adcc20a79d047306775f794de8bdc68ccd9ed7db,0x6C0822b5D3A0aEC3869DDdE051573a97856Aeb54,2222222222220000000,14146784,1644074802000,ETH
0x6a917c0733aa32f5c150b424990ac6578632e4f6352800a46365467d7d5cf608,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,191000000000000000,14147056,1644078254000,ETH
0xbe1c8cec4249f5d9a46e2699a8d06d77889e6bce7e3ac985333a87ac0210e3b4,0xc9284a9FD6D8C484bFD7e24f26B1634585f0A296,30000000000000000,14150232,1644120741000,ETH
0xae4f17c74bef89c91ba707cb126b003c9e68e7d32250dd44c8fefe124dccd5ee,0xDb88DB916C76323CE15ED5fe1F50d2f54733Fc70,2100000000000000000,14155304,1644187907000,ETH
0x1b443d8bb74126124047016878c252af3a20dc14a6ccbe5dbba3e17597f69ad5,0x580756206Bc33BDf63F26e46eb1BaD3BC5c53a54,1000000000000000000,14156241,1644200424000,ETH
0x3f4c724dddaedffb5be6d7633992a9021acd129c37536f284348a4fff15a3b27,0xDe10F01e3f9bF288eF7A91cb4744B4AF3F2797F0,200000000000000000000000,14156771,1644207408000,DAI
0x014a98bb4633a6d6db89fa7efed0847d225f86a679d7d99ae589d5c956e54449,0xA4e6C2B6264652444B3F0cc1bB37496AE916931c,374358000000000000,14157139,1644212218000,ETH
0x8d668190c53e81edbd08c03d364297d759a825c6f896b94a3bf03c228ac60567,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,100000000000000000,14159399,1644243286000,ETH
0x25e56c650fdf8b563d61c3d4e3f23921d8b01f5933cba9feb0770af32cd096b3,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,60000000000000000,14159620,1644246072000,ETH
0x3738306ef3657b34f8f1700fb8e659a2c2afd5f65bf226d1328885d580be875d,0x7157961707E305d5580c8AB29ce6E120Ec01744e,750000000000000000,14162213,1644280043000,ETH
0x383143c3fc7e331b72bbdc3c162d9e6794c17da2477fa1294a69373e7974c91a,0xB646B4cD68548D96804e844b7CfBEf4e74b80675,12500000000000000,14164131,1644305819000,ETH
0xb87c54a3c0a9e6c2338ed3883b4cfadc3f79cd4ef60e79391e9f05278996e0b7,0x2B075EDE4AF705D31464090b41B8D5C3CA9da84c,12500000000000000,14164133,1644305836000,ETH
0x9408ac726f47d82da2020f6a955725c1f0def49b7bfd8f539fa92db9c426a0e2,0x50640BFc30F97fef35054beAECE3d3a188A219F0,12500000000000000,14164138,1644305945000,ETH
0x0beba2d7ff73f1f7cc2214b75a88235dd764f315f6eee8ef5dcaf6ccc399a75c,0x1DD2091f250876Ba87B6fE17e6ca925e1B1c0CF0,60000000000000000,14164147,1644306045000,ETH
0xbe544ef320a5c4d1e60ea38fbc9de6740f698df31066ff7a248792c3a87f9163,0x6519319E8F32F22F7a22274898588f6dc4b40bbf,75000000000000000,14164167,1644306260000,ETH
0x86be8434a0bf7e3e2b2f41e1e1cce2adae78b4b1e5d8b8cb7ff25ec17cb32c96,0xE41188926607921763D25392475f1156AC5f9033,50000000000000000,14167114,1644346009000,ETH
0x661ea7857a4f886aef934e30f87a33de129cd604c1da09a93efb5c56fcb98ff7,0x1561c3218AB5Feeec5A0a7B817596EAbD257e5a3,50000000000000000,14172647,1644419864000,ETH
0xd607a0d67d46da93a4a4f8847a56a02fbde1cab4b2bee9eda7aeccbb7669aa4e,0xda94DA6D0909E90E81a9B9373a04807c3cE15fBC,16000000000000000,14175125,1644452869000,ETH
0x76e064ab94356e16147c9f1c7ffc41a56f5767193d22e876b879723c0df18f03,0xb44A14dEcD9270E34E2dDaff4CD8690a2Cb88461,6260000000000000000,14175863,1644462287000,ETH
0xd7bd7fde4d3f7f38f3537f4d997bcfb40e3f703bddd8f587153df5c660788d38,0x4eeD0fc86cf510a0c4800A5e555fEDB7c78fe32B,320000000000000000,14183128,1644560737000,ETH
0x29f830dfa6721d23376eb562502357f351f5793adec6746ea242f1b35c651c3b,0x14D9fA3a9eaB3CDE8317Ea827c5d88c94e12272E,325000000000000000,14183177,1644561365000,ETH
0x0f2e35361e3f22463724789df082fa4ef9f345e8efd04dc412e624a6877352ce,0xc9284a9FD6D8C484bFD7e24f26B1634585f0A296,9000000000000000,14187197,1644614804000,ETH
0x212b1670ebfbeece670ea258adea0260ea2245db0dba8a52eb72dd06a00b8902,0x2770736960c4739f96d3a033676ff0e34e71fC63,96500000000000000,14196297,1644735511000,ETH
0x1aa89d53ecb9d3ab41b915fb6a273f07007bcb4008c599d2deb896b092b39972,0x9dEBaE598dB0b4bBB53308AB7894De7Cc0D5326b,100000000000000000,14196704,1644740511000,ETH
0x9de0262481d2ce58d7c11d95daa67adbd985979adf07aef929bd71b8d178fabc,0xdbbF7481e3E38Ae10c9579CfA541C932c5c9a05D,340000000000000000,14197580,1644752735000,ETH
0xe27cc82181be50647f561b959a1bd25196dc305e17b0f6a957b9624e46b2120c,0x979Db9f8D937E19e36DFDB5Fe3a48a207A5c7991,150000000000000000,14205312,1644855693000,ETH
0x67632df56e5ee65f2f18aa2d123ad7554f7f0a91a319a8e59730f2e0cd8dad2b,0xA4e6C2B6264652444B3F0cc1bB37496AE916931c,340000000000000000,14207304,1644882671000,ETH
0xf2c3877e85c121496d6242ec1d8561ff7fb1e407f3fb3e3dcf1255369dc262cf,0x58E12A716B8cE86865D9482A30652a52A0359984,50000000000000000000,14207756,1644888682000,DAI
0xea665bb5658bb0db47662359280ce7b9badba3abf22ab49ecc5fe54c985c9ba1,0x58E12A716B8cE86865D9482A30652a52A0359984,50000000000000000000,14207756,1644888682000,DAI
0x05ac15a2ffa6658944c1d2a203b944659142f7666f9c15daa310a5c163c4cf59,0x0F9D7257a592c7d4359D6059811e07A9A1Cff110,10000000000000000,14209580,1644912930000,ETH
0xfd7880dae5dc4687cf851e5e26bcdc77c53802803ff4a53177494a748865ba9e,0x9AB301FD4F2519af93cA316B4fCD7D26aBd2f9E9,100000000000000000,14209771,1644915418000,ETH
0x55e293d21569bde9d6791b95f7182d02d6d14b09c951683c4300fac1384c9aeb,0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,150000000000000000,14210414,1644924124000,ETH
0xd466a6c110862431bb4da90feb722fc44c43c241574a3ef9bb9021a30ed1eebb,0xab5d306E643cDba074a4251e9E1A4FEC5a8e05Ee,60000000000000000,14212724,1644954955000,ETH
0x146b99996008b394756ce1577cd8c10b749882cbde9506730fba6389c07fab21,0x8269CAe3EfbC4D768D9d86AE3747253D15BF6929,30000000000000000,14214409,1644977306000,ETH
0x839891cf296aab33460a70efbc7b4188a5d569eabdb379933b51b29fda3a1eed,0x616001B6A176961849c8E1422A5D95A9dBBC4739,13000000000000000,14220119,1645054203000,ETH
0x7008190e4239d4abd1740966784259ddbbd17a08f3bdcc0edd3e960d1d79bfda,0xa51Ec9A7dBd81db527CB3fD15abD32bBbDa8e785,300000000000000000,14221035,1645066258000,ETH
0x2f7eede6ff525bc4c0bb775b5c1d3bdcc4b3e5d321670a8eb9561c71d06a91ed,0xB159DE0DdDAb4a997F1c22fcf1C939d3317D9EC6,3000000000000000000,14225844,1645130486000,ETH
0x87de5aa5437fd73da003baa0bb4528c39ce00a56e47985d6b9f18038e9915e69,0xef5939492958abb8488ce5A5C68D61Ac29C07732,500000000000000000000,14236429,1645272700000,DAI
0x692b16a6311837987b32abe1ff7e38c6350ecf900cc8cf12c968c7a353bbaee6,0xb3005148e7b58BfF2f82CBe63416363243349949,50000000000000000,14238604,1645302589000,ETH
0x024424e2e8d32151ba5c025926cabffd3639c2881e105c7db92768aae0cb0672,0x7929fF721516111056b3b36259846F9B942400a9,100000000000000000,14239603,1645315664000,ETH
0x1160c91d9051c147aab0cc674806951a5f0b967ff97ee61fe648002420da1057,0x511E061Bc0082BF14de5Cf2A6eeC624Df585fa52,124903000000000000,14244607,1645382770000,ETH
